task_id	title	date	category	lecture_id	timeline_slots	sort_key	mark	trace_dates	created_date	updated_date
man_2026-05-01_768b029c-57e9-4807-b520-6cc919945ddd	솔루틴 4월 No.20	2026-05-01	misc		[]	0	none	[]	2026-06-22	2026-06-22
lec_1963_2026-05-01	적분집중연습1-DAY10	2026-05-01	misc	1963	[]	1	none	[]	2026-06-22	2026-06-22
evt_1781956225603_hlnpcu	솔루션편입 4월 월말고사	2026-05-01	event		[]	2	none	[]	2026-06-20	2026-06-22
lec_526_2026-05-02	[19강] [5-1] CHAPTER 19: 종합문제 ①	2026-05-02	read	526	[]	0	none	["2026-05-02"]	2026-06-22	2026-06-22
lec_1861_2026-05-03	[5강] [4-1] 제4강 전범위 모의고사 S2	2026-05-03	math	1861	[]	0	none	[]	2026-06-22	2026-06-22
lec_1910_2026-05-03	[26강] [13-1] 제25강 V. 선형사상 Page174~	2026-05-03	math	1910	[]	1	none	[]	2026-06-22	2026-06-22
lec_1911_2026-05-03	[27강] [13-2] 제26강 VI. 추가내용 Page186~	2026-05-03	math	1911	[]	2	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096653190_91805_2026-05-04	학교	2026-05-04	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5","17_0","17_1","17_2","17_3","17_4","17_5"]	0	none	[]	2026-06-22	2026-06-22
lec_467_2026-05-04	[13강] [4-3] CHAPTER 13. 동명사	2026-05-04	grammar	467	[]	1	none	[]	2026-06-22	2026-06-22
lec_468_2026-05-04	[14강] [4-4] CHAPTER 14. 부정사	2026-05-04	grammar	468	[]	2	none	[]	2026-06-22	2026-06-22
lec_515_2026-05-04	[8강] [2-6] CHAPTER 08 : 역접관계 ③ : 통념반박 ②	2026-05-04	read	515	[]	3	none	[]	2026-06-22	2026-06-22
lec_95_2026-05-04	솔루틴 5월호 No.01	2026-05-04	misc	95	[]	4	none	[]	2026-06-22	2026-06-22
lec_1964_2026-05-04	적분집중연습1-DAY11	2026-05-04	misc	1964	[]	5	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096680687_192295_2026-05-05	학교	2026-05-05	fixed		["10_0","10_1","10_2","10_3","10_4","10_5","11_0","11_1","11_2","11_3","11_4","11_5","12_0","12_1","12_2","12_3","12_4","12_5","13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5"]	0	none	[]	2026-06-22	2026-06-22
lec_96_2026-05-05	솔루틴 5월호 No.02	2026-05-05	misc	96	[]	1	none	[]	2026-06-22	2026-06-22
lec_1965_2026-05-05	적분집중연습1-DAY12	2026-05-05	misc	1965	[]	2	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096698056_37837_2026-05-06	학교	2026-05-06	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5","17_0","17_1","17_2","17_3","17_4","17_5"]	0	none	[]	2026-06-22	2026-06-22
lec_97_2026-05-06	솔루틴 5월호 No.03	2026-05-06	misc	97	[]	1	none	[]	2026-06-22	2026-06-22
lec_1966_2026-05-06	적분집중연습1-DAY13	2026-05-06	misc	1966	[]	2	none	[]	2026-06-22	2026-06-22
evt_1782096857131_f5yar5	솔루션 월말고사 성적 발표일	2026-05-06	event		[]	3	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096663463_80462_2026-05-07	학교	2026-05-07	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5","17_0","17_1","17_2","17_3","17_4","17_5"]	0	none	[]	2026-06-22	2026-06-22
lec_562_2026-05-07	[13강] [4-3] Chapter 13 : 동명사	2026-05-07	grammar	562	[]	1	none	[]	2026-06-22	2026-06-22
lec_563_2026-05-07	[14강] [4-4] Chapter 14 : 부정사	2026-05-07	grammar	563	[]	2	none	[]	2026-06-22	2026-06-22
lec_516_2026-05-07	[9강] [3-1] CHAPTER 09 : 나열관계 ①	2026-05-07	read	516	[]	3	none	[]	2026-06-22	2026-06-22
lec_517_2026-05-07	[10강] [3-2] CHAPTER 10 : 나열관계 ②	2026-05-07	read	517	[]	4	none	[]	2026-06-22	2026-06-22
lec_98_2026-05-07	솔루틴 5월호 No.04	2026-05-07	misc	98	[]	5	none	[]	2026-06-22	2026-06-22
lec_1967_2026-05-07	적분집중연습1-DAY14	2026-05-07	misc	1967	[]	6	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096709911_982491_2026-05-08	학교	2026-05-08	fixed		["10_3","10_4","10_5","11_0","11_1","11_2","11_3","11_4","11_5","12_0","12_1","12_2","12_3","12_4","12_5"]	0	none	[]	2026-06-22	2026-06-22
lec_99_2026-05-08	솔루틴 5월호 No.05	2026-05-08	misc	99	[]	1	none	[]	2026-06-22	2026-06-22
lec_1968_2026-05-08	적분집중연습1-DAY15	2026-05-08	misc	1968	[]	2	none	[]	2026-06-22	2026-06-22
lec_568_2026-05-09	[19강] [6-1] Chapter 19 : 도치와 강조	2026-05-09	grammar	568	[]	0	none	[]	2026-06-22	2026-06-22
lec_569_2026-05-09	[20강] [6-2] Chapter 20 : 명사	2026-05-09	grammar	569	[]	1	none	[]	2026-06-22	2026-06-22
lec_518_2026-05-09	[11강] [3-3] CHAPTER 11 : 상술관계 ① 예시 ①	2026-05-09	read	518	[]	2	none	[]	2026-06-22	2026-06-22
lec_519_2026-05-09	[12강] [3-4] CHAPTER 12 : 상술관계 ① 예시 ②	2026-05-09	read	519	[]	3	none	[]	2026-06-22	2026-06-22
lec_1876_2026-05-09	[1강] OT	2026-05-09	math	1876	[]	4	none	[]	2026-06-22	2026-06-22
lec_1877_2026-05-09	[2강] [1-1] 제1강 weekly 5회 (1/2)	2026-05-09	math	1877	[]	5	none	[]	2026-06-22	2026-06-22
lec_1878_2026-05-09	[3강] [1-2] 제2강 weekly 5회 (2/2)	2026-05-09	math	1878	[]	6	none	[]	2026-06-22	2026-06-22
lec_1912_2026-05-10	[28강] [14-1] 제27강 VI. 추가내용 Page198~	2026-05-10	math	1912	[]	0	none	[]	2026-06-22	2026-06-22
lec_1913_2026-05-10	[29강] [14-2] 제28강 VI. 추가내용 Page204~	2026-05-10	math	1913	[]	1	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096653190_91805_2026-05-11	학교	2026-05-11	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5","17_0","17_1","17_2","17_3","17_4","17_5"]	0	none	[]	2026-06-22	2026-06-22
lec_471_2026-05-11	[17강] [5-3] CHAPTER 17. 비교 ①	2026-05-11	grammar	471	[]	1	none	[]	2026-06-22	2026-06-22
lec_472_2026-05-11	[18강] [5-4] CHAPTER 18. 비교 ②	2026-05-11	grammar	472	[]	2	none	[]	2026-06-22	2026-06-22
lec_520_2026-05-11	[13강] [3-5] CHAPTER 13 : 상술관계 ② 인과 ①	2026-05-11	read	520	[]	3	none	[]	2026-06-22	2026-06-22
lec_521_2026-05-11	[14강] [4-1] CHAPTER 14: 상술관계 ② : 인과 ②	2026-05-11	read	521	[]	4	none	[]	2026-06-22	2026-06-22
lec_100_2026-05-11	솔루틴 5월호 No.06	2026-05-11	misc	100	[]	5	none	[]	2026-06-22	2026-06-22
